,Kumas,Route,Yabby,Datalogged,sipno,latitude,longitude,zone
0,SüPREM 30/1 P ORG Full LYC BSK GAZE/D03-868/PIG.,"['2', '3']",Yabby3,2023-03-02 16:45:40.746143,1,-999,-999,-1
1,SUPREM 30/1 P FLAME S/Z,"['2', '4', '3']",Yabby14,2023-03-02 16:47:13.022143,2,-999,-999,-1
2,İNTERLOK 30/1 VİSKON ÇELİKLİ BSK,"['4', '3', '2']",Yabby13,2023-03-02 16:50:25.458143,3,-999,-999,-1
3,LACOST 30/1 B.İP,"['2', '3', '4']",Yabby19,2023-03-02 16:52:32.517143,4,-999,-999,-1
4,KAPİTONE 30/10 MEL ORG 52496,"['4', '2']",Yabby5,2023-03-02 16:56:22.013143,5,-999,-999,-1
5,SüPREM 30/1 NOPELI BSK GAZE/D03-1527/PIG.,"['3', '2', '4']",Yabby24,2023-03-02 16:58:31.468143,6,-999,-999,-1
6,KAŞKORSE 30/2 PAM 2*2 LYC,"['2', '3']",Yabby17,2023-03-02 17:00:43.895143,7,-999,-999,-1
7,SUPREM 40/1 P PETEK EM-44,"['3', '2', '4']",Yabby11,2023-03-02 17:02:58.416143,8,-999,-999,-1
8,SUPREM 30/1-150 DEN VISKON POLYESTER VANIZE,['4'],Yabby0,2023-03-02 17:05:52.033143,9,-999,-999,-1
9,SUPREM 30/1 P ORG FULL LYC GAZE BSK 95/5,"['3', '4', '2']",Yabby23,2023-03-02 17:07:48.074143,10,-999,-999,-1
10,FUTTER 30/30/10 ORG P ŞRD,"['2', '3']",Yabby4,2023-03-02 17:10:32.420143,11,-999,-999,-1
11,SÜPREM30/1 POL VİSCON  FULL LYC  ŞARDON,['3'],Yabby15,2023-03-02 17:13:33.431143,12,-999,-999,-1
12,KAPİTONE 30/1 200 DEN PAM-PES ROMBI-S60,['3'],Yabby10,2023-03-02 17:17:32.799143,13,-999,-999,-1
13,F.FUTTER 30/30 P ORG FULL LYC,"['4', '2']",Yabby7,2023-03-02 17:20:53.007143,14,-999,-999,-1
14,F.FUTTER 30/30 MELANJ ( PAM-PES Full LYC BSK ŞRD,"['4', '2', '3']",Yabby22,2023-03-02 17:23:25.698143,15,-999,-999,-1
15,SüPREM 30/1 P Full LYC BSK GAZE/D07-398,"['3', '2', '4']",Yabby8,2023-03-02 17:26:09.175143,16,-999,-999,-1
16,FUTTER 30/30/10 P ORG GAZE KRB 52188,"['2', '4']",Yabby9,2023-03-02 17:27:33.934143,17,-999,-999,-1
17,LAKOST 30/1 PAM-PES 1*1-3332,"['2', '3', '4']",Yabby6,2023-03-02 17:28:56.434143,18,-999,-999,-1
