,Kumas,Route,Yabby
0,PİKE 60/2  JAKARLI MULINE                                             ,"[3, 2]",Yabby9
1,İNTERLOK 30/1 RING VİSKON PA GİPELİ ÇELİKLİ                           ,"[4, 3, 2]",Yabby24
2,SüPREM 40/1 P FLAM ORG BSK GAZE/812B/D03-1913                         ,"[2, 4, 3]",Yabby15
3,DOKUMA BAMBU                                                          ,"[4, 3, 2]",Yabby8
4,KASKORSE 30/1 P 2*2 LYC 51315-OE                                      ,[3],Yabby19
5,SÜPREM 30/1 İPLİĞİ BOYALI                                             ,"[4, 3]",Yabby22
6,DOKUMA 40/1 POPLIN BSK                                                ,"[3, 4]",Yabby10
7,LAKOST 30/1 PAM/PES 50/50 T.T                                         ,"[2, 3, 4]",Yabby23
8,KAŞKORSE 28/1 VORTEX 5*3 FULL LYC                                     ,[3],Yabby12
9,İNTERLOK 40/1 MOD/PES/EA 48/48/6 ÇİFT YÜZLÜ ŞRD                       ,"[2, 3, 4]",Yabby17
10,KAŞKORSE 40/1 MELANJ FULL LYC                                         ,"[3, 4]",Yabby7
11,FUTTER 30/30/10 P ŞRD % 100 GOTS                                      ,"[2, 4, 3]",Yabby1
12,FUTTER PAM-POLY FLAM                                                  ,[4],Yabby11
13,SUPREM  PAMUK/KETEN BSK                                               ,"[2, 4, 3]",Yabby2
14,RİBANA 20/1 P RAPORLU 5*5                                             ,"[3, 4, 2]",Yabby5
15,SüPREM 30/1 PENYE  Full LYC / BSK GAZE-GLITTER                        ,"[3, 4]",Yabby16
16,SÜPREM 70/1 P                                                         ,"[3, 4]",Yabby20
17,SÜPREM VISKON FLAM MULINE                                             ,"[2, 4]",Yabby21
